NFORM;nnper;nvj;netp;IDPERVE;BL;EB0P1;EB0P2;EB1P1;EB1P2;EB1P3;EB1P4;EB1P5;EB1P6;EB1P7;EB2P1;EB6P1;EB3P1;EB4P1;EB4P2;EB4P3;EB5BP1L;EB5BP4;EB5P5;INSE;INSE_RecF;EstratoGeografico;wcal0;codsegparadasube;codsegparadabaja
1032;2;1;1;1032020101;51;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;185;20;3;23;B+;Montevideo Bajo;627,1948052;113010;120034
1032;2;1;2;1032020102;51;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ;546;5;3;23;B+;Montevideo Bajo;627,1948052;120034;119102
1032;2;2;1;1032020201;51;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;546;5;3;23;B+;Montevideo Bajo;627,1948052;112034;120034
1032;2;2;2;1032020202;51;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ;185;20;3;23;B+;Montevideo Bajo;627,1948052;120034;113010
1032;5;1;1;1032050101;51;4;0; ; ; ; ; ; ; ; ; ; ; ; ; ;306;20;1;23;B+;Montevideo Bajo;627,1948052;113010;113030
1032;5;1;2;1032050102;51;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ;124;10;1;23;B+;Montevideo Bajo;627,1948052;113030;102202
1032;5;2;1;1032050201;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;124;15;1;23;B+;Montevideo Bajo;627,1948052;102202;113030
1032;5;2;2;1032050202;51;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ;306;20;1;23;B+;Montevideo Bajo;627,1948052;113030;113010
1032;6;1;1;1032060101;51;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;185;10;15;23;B+;Montevideo Bajo;627,1948052;113010;113026
1032;6;2;1;1032060201;51;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ;306;5;15;23;B+;Montevideo Bajo;627,1948052;113026;113010
1032;7;1;1;1032070101;2; ; ; ; ; ; ; ; ; ;8;3; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;627,1948052; ; 
1032;7;2;1;1032070201;2; ; ; ; ; ; ; ; ; ;8;3; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;627,1948052; ; 
1032;8;1;1;1032080101;14;0;0;5;2; ; ;2; ;1; ; ; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;627,1948052; ; 
1032;8;2;1;1032080201;12;0;0;5;2; ; ;2; ;1; ; ; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;627,1948052; ; 
